address_hex;address_dec;group;float_no;value_little
'00004800';18432;1;146;-0.0004361532628536224365234375
'00004800';18432;1;147;0.0002868850133381783962249756
'00004800';18432;1;148;0.0007050083950161933898925781
'00004800';18432;1;149;0.0021466061007231473922729492
'00004800';18432;1;150;0.0028331570792943239212036133
'00004800';18432;1;151;0.0031600776128470897674560547
'00004800';18432;1;152;0.0033422282431274652481079102
'00004800';18432;1;153;0.0034774430096149444580078125
'00004800';18432;1;154;0.0034771359059959650039672852
'00004800';18432;1;155;0.0036500003188848495483398438
'00004800';18432;1;156;0.0036538434214890003204345703
'00004800';18432;1;157;0.0030289080459624528884887695
'00004800';18432;1;158;0.0030636179726570844650268555
'00004800';18432;1;159;0.0028676919173449277877807617
'00004800';18432;1;160;0.0021252569276839494705200195
'00004800';18432;1;161;0.0019701763521879911422729492
'00004800';18432;1;162;0.0013894344447180628776550293
'00004800';18432;1;163;0.0003399967390578240156173706
'00004800';18432;1;164;-0.0008102673455141484737396240
'00004800';18432;1;165;-0.0016950825229287147521972656
'00004800';18432;1;166;-0.0026655409019440412521362305
'00004800';18432;1;167;-0.0041798204183578491210937500
'00004800';18432;1;168;-0.0051577533595263957977294922
'00004800';18432;1;169;-0.0060364524833858013153076172
'00004800';18432;1;170;-0.0070953005924820899963378906
'00004800';18432;1;171;-0.0078164245933294296264648438
'00004800';18432;1;172;-0.0083001367747783660888671875
'00004800';18432;1;173;-0.0088462587445974349975585938
'00004800';18432;1;174;-0.0093179801478981971740722656
'00004800';18432;1;175;-0.0093830842524766921997070312
'00004800';18432;1;176;-0.0092959227040410041809082031
'00004800';18432;1;177;-0.0091136600822210311889648438
'00004800';18432;1;178;-0.0088093718513846397399902344
'00004800';18432;1;179;-0.0083881700411438941955566406
'00004800';18432;1;180;-0.0078922882676124572753906250
'00004800';18432;1;181;-0.0075206216424703598022460938
'00004800';18432;1;182;-0.0068504689261317253112792969
'00004800';18432;1;183;-0.0063852369785308837890625000
'00004800';18432;1;184;-0.0060073081403970718383789062
'00004800';18432;1;185;-0.0052428119815886020660400391
'00004800';18432;1;186;-0.0049487883225083351135253906
'00004800';18432;1;187;-0.0041632521897554397583007812
'00004800';18432;1;188;-0.0033941233996301889419555664
'00004800';18432;1;189;-0.0033222460187971591949462891
'00004800';18432;1;190;-0.0025624737609177827835083008
'00004800';18432;1;191;-0.0021735723130404949188232422
'00004800';18432;1;192;-0.0021638285834342241287231445
'00004C00';19456;1;1;-0.0016728922491893172264099121
'00004C00';19456;1;2;-0.0014469424495473504066467285
'00004C00';19456;1;3;-0.0013357884017750620841979980
'00004C00';19456;1;4;-0.0010144190164282917976379395
'00004C00';19456;1;5;-0.0008565522730350494384765625
'00004C00';19456;1;6;-0.0011057956144213676452636719
'00004C00';19456;1;7;-0.0008031428442336618900299072
'00004C00';19456;1;8;-0.0005101813585497438907623291
'00004C00';19456;1;9;-0.0007875514565967023372650146
'00004C00';19456;1;10;-0.0006121567566879093647003174
'00004C00';19456;1;11;-0.0006906531052663922309875488
'00004C00';19456;1;12;-0.0006469642394222319126129150
'00004C00';19456;1;13;-0.0004542602109722793102264404
'00004C00';19456;1;14;-0.0004379002202767878770828247
'00004C00';19456;1;15;0.0000737088848836719989776611
'00004C00';19456;1;16;0.0004459445190150290727615356
'00004C00';19456;1;17;0.0006985205109231173992156982
'00004C00';19456;1;18;0.0010360301239416003227233887
'00004C00';19456;1;19;0.0013139809016138315200805664
'00004C00';19456;1;20;0.0015188268152996897697448730
'00004C00';19456;1;21;0.0016674048965796828269958496
'00004C00';19456;1;22;0.0017244271002709865570068359
'00004C00';19456;1;23;0.0017493829363957047462463379
'00004C00';19456;1;24;0.0017334943404421210289001465
'00004C00';19456;1;25;0.0015314850024878978729248047
'00004C00';19456;1;26;0.0013494979357346892356872559
'00004C00';19456;1;27;0.0009575127623975276947021484
'00004C00';19456;1;28;0.0005919434479437768459320068
'00004C00';19456;1;29;0.0002654161944519728422164917
'00004C00';19456;1;30;-0.0003563682257663458585739136
'00004C00';19456;1;31;-0.0008367245900444686412811279
'00004C00';19456;1;32;-0.0014684803318232297897338867
'00004C00';19456;1;33;-0.0021530683152377605438232422
'00004C00';19456;1;34;-0.0027438388206064701080322266
'00004C00';19456;1;35;-0.0034953861031681299209594727
'00004C00';19456;1;36;-0.0041178553365170955657958984
'00004C00';19456;1;37;-0.0047630206681787967681884766
'00004C00';19456;1;38;-0.0053739678114652633666992188
'00004C00';19456;1;39;-0.0059336936101317405700683594
'00004C00';19456;1;40;-0.0062462692148983478546142578
'00004C00';19456;1;41;-0.0065274825319647789001464844
'00004C00';19456;1;42;-0.0068589136935770511627197266
'00004C00';19456;1;43;-0.0068577481433749198913574219
'00004C00';19456;1;44;-0.0070346198044717311859130859
'00004C00';19456;1;45;-0.0071136238984763622283935547
'00004C00';19456;1;46;-0.0069219819270074367523193359
'00004C00';19456;1;47;-0.0068865087814629077911376953
'00004C00';19456;1;48;-0.0067493752576410770416259766
'00004C00';19456;1;49;-0.0065097999759018421173095703
'00004C00';19456;1;50;-0.0064048785716295242309570312
'00004C00';19456;1;51;-0.0061501786112785339355468750
'00004C00';19456;1;52;-0.0058830720372498035430908203
'00004C00';19456;1;53;-0.0056767608039081096649169922
'00004C00';19456;1;54;-0.0053011970594525337219238281
'00004C00';19456;1;55;-0.0049869585782289505004882812
'00004C00';19456;1;56;-0.0045019295066595077514648438
'00004C00';19456;1;57;-0.0040549635887145996093750000
'00004C00';19456;1;58;-0.0037476557772606611251831055
'00004C00';19456;1;59;-0.0032401296775788068771362305
'00004C00';19456;1;60;-0.0027506717015057802200317383
'00004C00';19456;1;61;-0.0024304680991917848587036133
'00004C00';19456;1;62;-0.0022365481127053499221801758
'00004C00';19456;1;63;-0.0019475192530080676078796387
'00004C00';19456;1;64;-0.0017281406326219439506530762
'00004C00';19456;1;65;-0.0016784106846898794174194336
'00004C00';19456;1;66;-0.0014804664533585309982299805
'00004C00';19456;1;67;-0.0012308190343901515007019043
