block_address;float_no;value_little
000A1400;1;0.0000000000190503082059256812
000A1400;2;0.0000000044899173268220238242
000A1400;3;0.0000000370309791719591885339
000A1400;4;0.0000000152719970003545313375
000A1400;5;-0.0000002762741644346533576027
000A1400;6;-0.0000004957094574820075649768
000A1400;7;-0.0000008265769793069921433926
000A1400;8;-0.0000014724071206728694960475
000A1400;9;-0.0000007271064532687887549400
000A1400;10;-0.0000016736137240513926371932
000A1400;11;-0.0000004616635749243869213387
000A1400;12;-0.0000020801746813958743587136
000A1400;13;-0.0000027124224288854748010635
000A1400;14;0.0000010703231509978650137782
000A1400;15;-0.0000047463881855946965515614
000A1400;16;0.0000090256844487157650291920
000A1400;17;0.0000014114865507508511655033
000A1400;18;0.0001433410943718627095222473
000A1400;19;0.0004629574250429868698120117
000A1400;20;0.0008261217735707759857177734
000A1400;21;0.0012321864487603306770324707
000A1400;22;0.0014677820727229118347167969
000A1400;23;0.0014130171621218323707580566
000A1400;24;0.0012258774368092417716979980
000A1400;25;0.0014738441677764058113098145
000A1400;26;0.0020741538610309362411499023
000A1400;27;0.0019979835487902164459228516
000A1400;28;0.0006850131321698427200317383
000A1400;29;-0.0011770917335525155067443848
000A1400;30;-0.0036164992488920688629150391
000A1400;31;-0.0058889836072921752929687500
000A1400;32;-0.0064604524523019790649414062
000A1400;33;-0.0057775625027716159820556641
000A1400;34;-0.0048994072712957859039306641
000A1400;35;-0.0039582545869052410125732422
000A1400;36;-0.0029088207520544528961181641
000A1400;37;-0.0027639321051537990570068359
000A1400;38;-0.0030898591503500938415527344
000A1400;39;-0.0031191951129585504531860352
000A1400;40;-0.0032554198987782001495361328
000A1400;41;-0.0030744362156838178634643555
000A1400;42;-0.0029546995647251605987548828
000A1400;43;-0.0031761724967509508132934570
000A1400;44;-0.0037065467331558465957641602
000A1400;45;-0.0045602782629430294036865234
000A1400;46;-0.0052054887637495994567871094
000A1400;47;-0.0064661079086363315582275391
000A1400;48;-0.0076655759476125240325927734
000A1400;49;-0.0076777194626629352569580078
000A1400;50;-0.0069332690909504890441894531
000A1400;51;-0.0060228304937481880187988281
000A1400;52;-0.0047764424234628677368164062
000A1400;53;-0.0028572413139045238494873047
000A1400;54;-0.0017028420697897672653198242
000A1400;55;-0.0013312111841514706611633301
000A1400;56;-0.0006615640595555305480957031
000A1400;57;0.0002884028945118188858032227
