block_address;float_no;value_little
0002D800;1;0.0000609359303780365735292435
0002D800;2;0.0000361690763384103775024414
0002D800;3;0.0000200712820515036582946777
0002D800;4;-0.0000706087957951240241527557
0002D800;5;-0.0001921791554195806384086609
0002D800;6;-0.0002712626010179519653320312
0002D800;7;-0.0002737713512033224105834961
0002D800;8;-0.0002543528098613023757934570
0002D800;9;-0.0003209619899280369281768799
0002D800;10;-0.0004406134830787777900695801
0002D800;11;-0.0005246534710749983787536621
0002D800;12;-0.0005007823929190635681152344
0002D800;13;-0.0004469045379664748907089233
0002D800;14;-0.0004420094192028045654296875
0002D800;15;-0.0004845519724767655134201050
0002D800;16;-0.0005245710490271449089050293
0002D800;17;-0.0005113454535603523254394531
0002D800;18;-0.0004958771169185638427734375
0002D800;19;-0.0005075754597783088684082031
0002D800;20;-0.0005600585718639194965362549
0002D800;21;-0.0006082510226406157016754150
0002D800;22;-0.0006162535282783210277557373
0002D800;23;-0.0005950510385446250438690186
0002D800;24;-0.0005787059781141579151153564
0002D800;25;-0.0006081148749217391014099121
0002D800;26;-0.0006437711999751627445220947
0002D800;27;-0.0006607013056054711341857910
0002D800;28;-0.0006481867749243974685668945
0002D800;29;-0.0006410413188859820365905762
0002D800;30;-0.0006621667998842895030975342
0002D800;31;-0.0006904239417053759098052979
0002D800;32;-0.0007174042402766644954681396
0002D800;33;-0.0007313959067687392234802246
0002D800;34;-0.0007489396375603973865509033
0002D800;35;-0.0007542518433183431625366211
0002D800;36;-0.0007463835063390433788299561
0002D800;37;-0.0007322248420678079128265381
0002D800;38;-0.0007198399398475885391235352
0002D800;39;-0.0007096164044924080371856689
0002D800;40;-0.0006799723487347364425659180
0002D800;41;-0.0006504210759885609149932861
0002D800;42;-0.0006301265675574541091918945
0002D800;43;-0.0006300609675236046314239502
0002D800;44;-0.0006371812196448445320129395
0002D800;45;-0.0006417011027224361896514893
0002D800;46;-0.0006514406995847821235656738
0002D800;47;-0.0006687931017950177192687988
0002D800;48;-0.0007028607651591300964355469
0002D800;49;-0.0007365810452029109001159668
0002D800;50;-0.0007571532041765749454498291
0002D800;51;-0.0007483206572942435741424561
0002D800;52;-0.0007297401898540556430816650
0002D800;53;-0.0007245452143251895904541016
0002D800;54;-0.0007257073302753269672393799
0002D800;55;-0.0007141777896322309970855713
0002D800;56;-0.0006738770753145217895507812
0002D800;57;-0.0006373494397848844528198242
0002D800;58;-0.0006241617375053465366363525
0002D800;59;-0.0006278239306993782520294189
0002D800;60;-0.0006261210655793547630310059
0002D800;61;-0.0006151280249468982219696045
0002D800;62;-0.0006110408576205372810363770
0002D800;63;-0.0006200269563123583793640137
0002D800;64;-0.0006426557665690779685974121
0002D800;65;-0.0006668393034487962722778320
0002D800;66;-0.0006616438622586429119110107
0002D800;67;-0.0006204886012710630893707275
0002D800;68;-0.0005859597004018723964691162
0002D800;69;-0.0005615236586891114711761475
0002D800;70;-0.0005291445995680987834930420
0002D800;71;-0.0004861759371124207973480225
0002D800;72;-0.0004336005658842623233795166
0002D800;73;-0.0003925154451280832290649414
0002D800;74;-0.0003676696214824914932250977
0002D800;75;-0.0003416770778130739927291870
0002D800;76;-0.0003082236216869205236434937
0002D800;77;-0.0002708631218411028385162354
0002D800;78;-0.0002421443205093964934349060
0002D800;79;-0.0002276738523505628108978271
0002D800;80;-0.0002149544161511585116386414
0002D800;81;-0.0001956382620846852660179138
0002D800;82;-0.0001661574788158759474754333
0002D800;83;-0.0001355786516796797513961792
0002D800;84;-0.0001070625221473164856433868
0002D800;85;-0.0000826200339361093938350677
0002D800;86;-0.0000610675124335102736949921
0002D800;87;-0.0000194968251889804378151894
0002D800;88;0.0000037945171698083868250251
0002D800;89;-0.0000010773311487355385906994
0002D800;90;0.0000008058205480665492359549
0002D800;91;0.0000001926761825643552583642
0002D800;92;-0.0000000306902947500020673033
0002D800;93;0.0000005073925422038882970810
0002D800;94;-0.0000001198115313627567957155
0002D800;95;0.0000003741053831163299037144
0002D800;96;0.0000000057881122117464656185
0002D800;97;0.0000001466941768057949957438
0002D800;98;0.0000000832585769217075721826
0002D800;99;0.0000000327055502680195786525
0002D800;100;0.0000000601500858010695083067
0002D800;101;-0.0000000070736447810304525774
0002D800;102;-0.0000000059550573361377701076
0002D800;103;-0.0000000001112685013571201864
0002D800;104;-0.0000000000097332775519931580
0002D800;105;0.0000000000099529169628187475
0002D800;106;0.0000000000004024656313512259
0002D800;107;-0.0000000000000002651143774083
