block_address;float_no;value_little
000A4800;1;-0.0001450219424441456794738770
000A4800;2;-0.0001208600733662024140357971
000A4800;3;-0.0000800488778622820973396301
000A4800;4;-0.0000490528727823402732610703
000A4800;5;-0.0000144593159348005428910255
000A4800;6;0.0000239350647461833432316780
000A4800;7;0.0000515009960508905351161957
000A4800;8;0.0000787902463343925774097443
000A4800;9;0.0000974768481682986021041870
000A4800;10;0.0001077908236766234040260315
000A4800;11;0.0001136938444687984883785248
000A4800;12;0.0001090078876586630940437317
000A4800;13;0.0000993324138107709586620331
000A4800;14;0.0000867858980200253427028656
000A4800;15;0.0000701323733665049076080322
000A4800;16;0.0000539203865628223866224289
000A4800;17;0.0000383335245714988559484482
000A4800;18;0.0000245288501901086419820786
000A4800;19;0.0000130221887957304716110229
000A4800;20;0.0000043186055336263962090015
000A4800;21;-0.0000007891609925536613445729
000A4800;22;-0.0000049858281272463500499725
000A4800;23;-0.0000031318872970587108284235
000A4800;24;0.0000004070443253567646024749
000A4800;25;-0.0000002720251472965173888952
000A4800;26;-0.0000000574426373134429013589
000A4800;27;-0.0000000344317641065572388470
000A4800;28;-0.0000001414579458014486590400
000A4800;29;0.0000000220247500237746862695
000A4800;30;-0.0000000958111812110473692883
000A4800;31;0.0000000103105186610719101736
000A4800;32;-0.0000000304494420788614661433
000A4800;33;-0.0000000042115124720965013694
000A4800;34;0.0000000046857353552809399844
000A4800;35;-0.0000000034339924237514196648
000A4800;36;0.0000000086576221747236559168
000A4800;37;0.0000000003084083821658367697
000A4800;38;-0.0000000007995767381530072271
000A4800;39;-0.0000000000150370861595749972
000A4800;40;-0.0000000000030218494807138230
000A4800;41;0.0000000000012096827445989833
000A4800;42;0.0000000000000704767055261998
000A4800;43;-0.0000000000000000509902750027
