block_address;float_no;value_little
0007DC00;1;-0.0000174515189428348094224930
0007DC00;2;-0.0000189308975677704438567162
0007DC00;3;-0.0000193928663065889850258827
0007DC00;4;-0.0000188088688446441665291786
0007DC00;5;-0.0000171906831383239477872849
0007DC00;6;-0.0000146449492604006081819534
0007DC00;7;-0.0000113057085400214418768883
0007DC00;8;-0.0000073752316893660463392735
0007DC00;9;-0.0000031804179343453142791986
0007DC00;10;0.0000009312170163866539951414
0007DC00;11;0.0000046642094275739509612322
0007DC00;12;0.0000077603208410437218844891
0007DC00;13;0.0000100858032965334132313728
0007DC00;14;0.0000115563379949890077114105
0007DC00;15;0.0000121060893434332683682442
0007DC00;16;0.0000117947492981329560279846
0007DC00;17;0.0000106960123957833275198936
0007DC00;18;0.0000090492176241241395473480
0007DC00;19;0.0000070542009780183434486389
0007DC00;20;0.0000048990409595717210322618
0007DC00;21;0.0000028678962280537234619260
0007DC00;22;0.0000007891860605013789609075
0007DC00;23;-0.0000001987881006471070577390
0007DC00;24;0.0000000168856981730414190679
0007DC00;25;-0.0000000051122861499663940776
0007DC00;26;-0.0000000204293506556041393196
0007DC00;27;0.0000000057430713518158427178
0007DC00;28;-0.0000000246360212230456454563
0007DC00;29;0.0000000000934410535058383118
0007DC00;30;-0.0000000161534874365543146268
0007DC00;31;-0.0000000057935038988432552287
0007DC00;32;-0.0000000069845724759431959683
0007DC00;33;-0.0000000060840474880308192951
0007DC00;34;-0.0000000017810261043749164855
0007DC00;35;-0.0000000024555515398816396555
0007DC00;36;0.0000000004057931490830668508
0007DC00;37;0.0000000003701455253413143964
0007DC00;38;-0.0000000000267023556044243549
0007DC00;39;-0.0000000000004944236751784625
0007DC00;40;-0.0000000000005835860223887823
0007DC00;41;0.0000000000000030632641605591
0007DC00;42;0.0000000000000072580432129384
0007DC00;43;-0.0000000000000000064497365128
