block_address;float_no;value_little
000C8800;1;0.0006916371639817953109741211
000C8800;2;0.0005622746539302170276641846
000C8800;3;0.0004995114868506789207458496
000C8800;4;0.0004444084479473531246185303
000C8800;5;0.0003803177096415311098098755
000C8800;6;0.0003747392911463975906372070
000C8800;7;0.0003237449564039707183837891
000C8800;8;0.0002473728673066943883895874
000C8800;9;0.0001616599474800750613212585
000C8800;10;0.0000763649586588144302368164
000C8800;11;0.0000829776254249736666679382
000C8800;12;0.0001352518884232267737388611
000C8800;13;0.0001867440878413617610931396
000C8800;14;0.0001848511892603710293769836
000C8800;15;0.0001227226748596876859664917
000C8800;16;0.0000809372868388891220092773
000C8800;17;0.0000518834312970284372568130
000C8800;18;0.0000460822411696426570415497
000C8800;19;0.0000233069604291813448071480
000C8800;20;-0.0000625649263383820652961731
000C8800;21;-0.0001435245794709771871566772
000C8800;22;-0.0001965483097592368721961975
000C8800;23;-0.0001943992974702268838882446
000C8800;24;-0.0001740341394906863570213318
000C8800;25;-0.0002196029527112841606140137
000C8800;26;-0.0003015228139702230691909790
000C8800;27;-0.0003805872111115604639053345
000C8800;28;-0.0003918047295883297920227051
000C8800;29;-0.0003450892691034823656082153
000C8800;30;-0.0003240648366045206785202026
000C8800;31;-0.0003317221708130091428756714
000C8800;32;-0.0003712274483405053615570068
000C8800;33;-0.0003933474363293498754501343
000C8800;34;-0.0003772914351429790258407593
000C8800;35;-0.0003699827648233622312545776
000C8800;36;-0.0003746912407223135232925415
000C8800;37;-0.0004112378810532391071319580
000C8800;38;-0.0004515489272307604551315308
000C8800;39;-0.0004617513332050293684005737
000C8800;40;-0.0004554114711936563253402710
000C8800;41;-0.0004334174736868590116500854
000C8800;42;-0.0004376669821795076131820679
000C8800;43;-0.0004666356253437697887420654
000C8800;44;-0.0004867715178988873958587646
000C8800;45;-0.0004977192729711532592773438
000C8800;46;-0.0004850448458455502986907959
000C8800;47;-0.0004815175198018550872802734
000C8800;48;-0.0004984578117728233337402344
000C8800;49;-0.0005164841422811150550842285
000C8800;50;-0.0005406996351666748523712158
000C8800;51;-0.0005518647376447916030883789
000C8800;52;-0.0005644647171720862388610840
000C8800;53;-0.0005766540416516363620758057
000C8800;54;-0.0005720340413972735404968262
000C8800;55;-0.0005670026876032352447509766
000C8800;56;-0.0005540411802940070629119873
000C8800;57;-0.0005473500932566821575164795
000C8800;58;-0.0005399748333729803562164307
000C8800;59;-0.0005156720872037112712860107
000C8800;60;-0.0004953812458552420139312744
000C8800;61;-0.0004782172618433833122253418
000C8800;62;-0.0004753423563670367002487183
000C8800;63;-0.0004829515819437801837921143
000C8800;64;-0.0004844016511924564838409424
000C8800;65;-0.0004917782498523592948913574
000C8800;66;-0.0004994626506231725215911865
000C8800;67;-0.0005173372919671237468719482
000C8800;68;-0.0005455925711430609226226807
000C8800;69;-0.0005675643915310502052307129
000C8800;70;-0.0005820675287395715713500977
000C8800;71;-0.0005733683356083929538726807
000C8800;72;-0.0005590457003563642501831055
000C8800;73;-0.0005554792005568742752075195
000C8800;74;-0.0005551099311560392379760742
000C8800;75;-0.0005524753360077738761901855
000C8800;76;-0.0005286033265292644500732422
000C8800;77;-0.0004964173422195017337799072
000C8800;78;-0.0004763205943163484334945679
000C8800;79;-0.0004748878127429634332656860
000C8800;80;-0.0004724776954390108585357666
000C8800;81;-0.0004768043581862002611160278
000C8800;82;-0.0004579255182761698961257935
000C8800;83;-0.0004634833021555095911026001
000C8800;84;-0.0004677659017033874988555908
000C8800;85;-0.0004684545274358242750167847
000C8800;86;-0.0005376687622629106044769287
000C8800;87;-0.0002491416526027023792266846
000C8800;88;0.0000410085485782474279403687
000C8800;89;-0.0000134155252453638240695000
000C8800;90;0.0000038427606341429054737091
000C8800;91;0.0000031057900287123629823327
000C8800;92;-0.0000046826689867884851992130
000C8800;93;0.0000057383158491575159132481
000C8800;94;-0.0000038860803215357009321451
000C8800;95;0.0000031830206808081129565835
000C8800;96;-0.0000009133067919719906058162
000C8800;97;0.0000006577723183909256476909
000C8800;98;0.0000007115385756151226814836
000C8800;99;-0.0000000508913657881748804357
000C8800;100;0.0000007100877041921194177121
000C8800;101;-0.0000000147553533835775851912
000C8800;102;-0.0000000697596576060277584475
000C8800;103;-0.0000000012901212320670651934
000C8800;104;-0.0000000002028063689207826314
000C8800;105;0.0000000001091546991682790235
000C8800;106;0.0000000000056849633507660702
000C8800;107;-0.0000000000000040349447822654
