block_address;float_no;value_little
0000A000;1;-0.0028039372991770505905151367
0000A000;2;-0.0024683889932930469512939453
0000A000;3;-0.0017863626126199960708618164
0000A000;4;-0.0013970731524750590324401855
0000A000;5;-0.0016461601480841636657714844
0000A000;6;-0.0019384121987968683242797852
0000A000;7;-0.0020674869883805513381958008
0000A000;8;-0.0019946128595620393753051758
0000A000;9;-0.0016496222233399748802185059
0000A000;10;-0.0020795760210603475570678711
0000A000;11;-0.0028037568554282188415527344
0000A000;12;-0.0032201257999986410140991211
0000A000;13;-0.0035247409250587224960327148
0000A000;14;-0.0039537819102406501770019531
0000A000;15;-0.0044833910651504993438720703
0000A000;16;-0.0049388636834919452667236328
0000A000;17;-0.0055891913361847400665283203
0000A000;18;-0.0056841270998120307922363281
0000A000;19;-0.0056264433078467845916748047
0000A000;20;-0.0056067025288939476013183594
0000A000;21;-0.0055086128413677215576171875
0000A000;22;-0.0056206411682069301605224609
0000A000;23;-0.0052886069752275943756103516
0000A000;24;-0.0047269267961382865905761719
0000A000;25;-0.0042005041614174842834472656
0000A000;26;-0.0035193460062146186828613281
0000A000;27;-0.0029546257574111223220825195
0000A000;28;-0.0027401705738157033920288086
0000A000;29;-0.0021909922361373901367187500
0000A000;30;-0.0014084078138694167137145996
0000A000;31;-0.0010400761384516954421997070
0000A000;32;-0.0006233451422303915023803711
0000A000;33;-0.0002163747412851080298423767
0000A000;34;0.0003510196402203291654586792
0000A000;35;0.0009412217768840491771697998
0000A000;36;0.0011849270667880773544311523
0000A000;37;0.0014891978353261947631835938
0000A000;38;0.0016694660298526287078857422
0000A000;39;0.0019126302795484662055969238
0000A000;40;0.0020491040777415037155151367
0000A000;41;0.0021018509287387132644653320
0000A000;42;0.0022231715265661478042602539
0000A000;43;0.0018550525419414043426513672
0000A000;44;0.0014330575941130518913269043
0000A000;45;0.0011048646410927176475524902
0000A000;46;0.0006458290154114365577697754
0000A000;47;0.0003499286831356585025787354
0000A000;48;0.0000576307502342388033866882
0000A000;49;-0.0003200673963874578475952148
0000A000;50;-0.0008231677347794175148010254
0000A000;51;-0.0012056141858920454978942871
0000A000;52;-0.0012811959022656083106994629
0000A000;53;-0.0014149241615086793899536133
0000A000;54;-0.0014470336027443408966064453
0000A000;55;-0.0013645396102219820022583008
0000A000;56;-0.0014929720200598239898681641
0000A000;57;-0.0014922192785888910293579102
0000A000;58;-0.0011862514074891805648803711
0000A000;59;-0.0010109357535839080810546875
0000A000;60;-0.0009908563224598765373229980
0000A000;61;-0.0006079194718040525913238525
0000A000;62;-0.0002983739832416176795959473
0000A000;63;-0.0002076134551316499710083008
0000A000;64;-0.0000165416204254142940044403
0000A000;65;0.0002847766736522316932678223
0000A000;66;0.0005577775300480425357818604
